id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	absence	0.4164	0.6798	1	82	110	12	2019.0833	23.1667	1.1041
2	accountability	-0.5817	-0.128	2	183	564	72	2018.8611	10.4722	0.8666
3	accuracy	0.9738	-0.2205	1	194	804	91	2018.9231	30.0659	2.3675
4	action	-0.489	0.6169	2	200	706	86	2018.2093	17.5581	0.851
5	activity	-0.5776	-0.4375	2	146	295	38	2018.2368	7.1842	0.4135
6	age	0.4197	-0.1641	1	120	205	23	2018.3478	9.8696	0.599
7	agency	-0.5355	0.132	2	133	271	32	2018.5312	11.0312	0.9305
8	agent	-0.1753	0.7283	2	177	777	109	2018.1743	9.1468	0.5178
9	algorithmic bias	0.9658	-0.0133	1	85	113	12	2018.9167	48.1667	3.4698
10	algorithmic decision making	0.4102	0.5969	1	107	197	20	2019.05	31.9	1.8729
11	algorithmic fairness	0.8619	0.4888	1	98	201	28	2019.2857	15.4286	0.9461
12	allocation	0.9103	-0.1249	1	99	210	31	2018.7097	5.9677	0.3717
13	alternative	0.0808	0.4281	2	124	201	21	2018.5714	10.8095	0.5622
14	argument	-0.4862	0.3991	2	76	106	15	2019.3333	4.0667	0.6799
15	art	0.247	-0.4776	3	115	177	19	2019.4737	6.8421	3.3856
16	assumption	0.5763	0.5433	1	142	321	41	2018.6341	9.9512	0.6976
17	attitude	-0.3814	-0.0375	2	108	179	22	2018.5455	9.3182	0.4617
18	attribute	1.1406	0.0585	1	143	364	34	2018.8529	24.2059	1.3489
19	audience	-0.3365	-0.5289	3	98	138	15	2018.8667	7.4	0.4303
20	automated decision making	-0.348	-0.5822	3	95	162	17	2018.8824	15.1765	0.7692
21	automation	-0.6752	0.1572	2	78	101	14	2018.9286	7.2857	0.9955
22	autonomous agent	-0.6586	0.7981	2	63	100	13	2017.3846	11.5385	0.6615
23	autonomous system	-0.7284	0.6822	2	79	133	22	2018.1364	11.3636	0.4979
24	autonomous vehicle	-0.347	0.4579	2	81	130	17	2018.4706	57.0588	2.6215
25	autonomy	-0.9029	0.2922	2	138	284	31	2017.9032	13.2258	0.5831
26	awareness	-0.7289	-0.4507	3	105	183	23	2018.0435	13.6087	0.8826
27	balance	0.0869	-0.6442	3	98	177	20	2018.95	20.3	0.939
28	barrier	-0.2968	-0.3852	2	65	80	11	2018.9091	6.1818	0.4392
29	behaviour	-0.8405	0.2399	2	113	213	23	2017.7826	23.3478	1.2862
30	belief	-0.5205	0.5978	2	83	121	15	2018.7333	8.4667	0.4658
31	big data	0.0594	-0.3945	3	71	95	14	2017.0714	14.7143	0.7536
32	black box	0.1507	-0.4124	1	75	124	18	2018.7778	49.9444	3.1397
33	building	-0.2332	-0.278	2	108	164	18	2018.8333	14.7778	1.0607
34	business	-0.3057	-0.2359	2	71	84	11	2018.6364	7.2727	0.3877
35	capability	-0.5692	0.4714	2	132	272	35	2018.6	7.3143	0.657
36	capacity	-0.8419	0.6122	2	79	127	16	2017.625	8.6875	0.3325
37	car	-0.8937	-0.1809	3	99	164	15	2018	9.2	0.6639
38	child	-0.9579	-0.2743	3	78	121	14	2018.9286	5.0714	0.4382
39	citizen	-0.2504	0.0983	2	93	141	16	2017.9375	17.8125	1.0994
40	claim	-0.648	0.2273	2	72	105	16	2018.8125	6.3125	0.6243
41	class	0.2214	-0.1214	1	154	319	37	2018.7297	21.3243	1.0905
42	classification	1.0975	-0.1359	1	150	388	43	2018.7907	37.093	2.1125
43	classifier	1.0227	-0.0909	1	155	477	51	2019.0196	16.0784	1.0376
44	cluster	0.4234	-0.2946	1	62	79	11	2019.5455	28.6364	1.8616
45	code	-0.8095	-0.1869	2	112	209	24	2019.4167	3.4167	0.5554
46	collaboration	-0.12	0.4237	2	85	116	17	2018.2353	10.2353	0.6601
47	collection	-0.0113	-0.5925	3	165	364	34	2018.5294	14.9118	0.8027
48	community	-0.26	0.0269	2	203	627	73	2018.6849	14.0137	0.9032
49	company	-0.7535	0.0593	2	137	257	31	2019.1613	5.871	0.939
50	compliance	-0.5147	0.2135	2	123	233	24	2018.75	8.7917	0.5088
51	computation	0.1637	-0.7899	3	96	152	19	2017.7895	7.2105	0.3498
52	computer science	-0.1939	-0.1863	2	105	158	19	2019.5263	7.6316	3.7365
53	conflict	-0.6911	-0.3728	3	113	166	18	2018.5556	8.7778	0.6798
54	consensus	-0.4467	0.2809	2	103	142	15	2019.1333	5.6667	0.866
55	consent	-0.6058	-0.5586	3	109	174	16	2018.3125	12.6875	0.894
56	constraint	0.8834	0.2369	1	162	504	60	2018.4833	19.2667	0.9366
57	content	-0.0199	-0.4802	3	151	288	35	2018.7429	7.2	0.9505
58	conversation	-0.5008	0.0314	2	85	136	14	2018.7143	9.0714	0.8303
59	cost	0.6981	0.2	1	160	415	49	2018.551	47.1633	2.7411
60	course	-1.0119	-0.31	2	74	148	16	2018.9375	5.375	0.7223
61	crime	1.1532	-0.063	1	44	56	11	2018.4545	16.5455	0.827
62	criterium	0.7458	0.2856	1	111	186	26	2018.7692	26.1538	1.5652
63	culture	-0.5709	-0.0182	2	82	110	14	2019.5714	4.7857	1.1077
64	data protection	-0.9989	-0.6534	3	80	168	16	2018	19.1875	1.0859
65	data subject	-0.676	-0.8793	3	73	147	12	2018.3333	23.75	1.161
66	debate	-0.3996	0.2821	2	171	432	49	2018.3878	19.5714	0.9932
67	decision maker	0.6971	0.3	1	125	216	26	2019.1154	27.6538	3.2116
68	demographic group	1.4899	-0.173	1	53	84	12	2019.4167	18.25	0.8231
69	designer	-0.6998	0.5026	2	115	202	26	2018.7692	9.7692	0.6524
70	developer	-0.4595	-0.3644	3	123	224	25	2018.8	11.48	0.5698
71	development	-0.6957	0.1329	2	213	814	96	2018.8438	13.4062	1.1022
72	device	-0.5815	-0.8053	3	126	299	34	2017.9118	17.8824	1.007
73	difference	0.4544	0.097	1	182	436	48	2019.0625	16.3542	1.4766
74	differential privacy	1.1093	-0.5765	1	50	90	14	2017.3571	9.7857	0.5388
