id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	account	-0.2611	0.2163	3	52	81	10	2018.9	8.7	0.7121
2	accountability	1.0401	0.4074	2	46	107	13	2019.6154	9.1538	0.9884
3	accuracy	-0.4314	-0.2456	1	83	269	44	2019.0909	12.5	1.0087
4	action	0.4625	0.7164	3	68	210	27	2018.963	7.9259	0.6654
5	addition	0.1397	0.8386	3	65	150	20	2019.65	3.25	0.4932
6	adoption	0.3609	0.0796	2	55	92	13	2018.8462	22.3846	0.9124
7	agent	0.1053	0.5803	3	65	162	27	2018.8889	5	0.3812
8	algorithmic fairness	0.4836	-0.763	2	44	74	12	2019.5833	9.1667	1.29
9	area	0.9357	0.1318	2	77	219	30	2019	11.4333	0.7287
10	attention	1.0421	-0.0221	2	68	148	21	2019.2381	10.6667	0.8613
11	behavior	0.2633	0.6545	3	85	289	41	2018.9756	7.878	0.8897
12	case study	0.4284	-0.369	2	69	133	19	2018.2632	10.6842	0.975
13	challenge	0.5827	-0.1287	2	94	362	52	2019.5	6.9038	0.8957
14	choice	-0.0526	-0.3517	1	59	94	15	2018.4	14.1333	1.2102
15	class	-0.8317	-0.1729	1	72	157	27	2018.5926	35.5556	1.3536
16	classifier	-0.5259	-0.4664	1	63	147	27	2019.0741	14.037	0.9492
17	collection	-0.1313	-0.1618	4	64	140	20	2019.25	5.8	1.3145
18	community	0.7551	-0.407	2	73	200	30	2019.2667	14.9667	1.1234
19	condition	-0.9557	0.056	1	61	111	18	2019.0556	3.2222	1.2092
20	constraint	-0.3377	0.3148	3	68	148	23	2018.5652	13.7391	0.7746
21	cost	-0.7323	0.431	1	67	179	26	2019.4615	7	0.6701
22	decision making	0.5088	0.4451	3	83	231	33	2019.1515	10.8182	0.8127
23	definition	-0.4102	-0.5171	1	71	159	26	2019	14.1154	0.777
24	detail	0.0359	0.3133	3	41	72	10	2018.9	5.7	0.4806
